,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
159,CS231N,0.6455696202531646,0.6242038216560509,0.6455696202531646,0.6242038216560509,237,157,0.6242038216560509,1.0,0.7686274509803922
160,CS108,0.7630434782608696,0.7162162162162162,0.7630434782608696,0.7162162162162162,460,74,0.7162162162162162,1.0,0.8346456692913385
161,PHYSICS161,0.8888888888888888,1.0,0.8888888888888888,1.0,18,5,1.0,1.0,1.0
162,ME216C,0.9328358208955224,0.9375,0.9104477611940298,0.9583333333333334,134,48,1.0,0.9347826086956522,0.9662921348314606
163,CME102A,0.736,0.6086956521739131,0.736,0.6086956521739131,125,23,0.6086956521739131,1.0,0.7567567567567568
164,CS193A,0.9411764705882353,0.9583333333333334,0.9411764705882353,0.9583333333333334,51,72,0.9583333333333334,1.0,0.9787234042553191
165,PUBLPOL104,0.7017543859649122,0.7727272727272727,0.7017543859649122,0.7727272727272727,57,22,0.7727272727272727,1.0,0.8717948717948718
166,EE118,0.723404255319149,0.8666666666666667,0.723404255319149,0.8666666666666667,47,15,0.8666666666666667,1.0,0.9285714285714286
167,ENGR62,0.7614678899082569,0.6666666666666666,0.7614678899082569,0.6666666666666666,109,6,0.6666666666666666,1.0,0.8
168,CS248,0.9431818181818182,0.7,0.9431818181818182,0.7,88,40,0.7,1.0,0.8235294117647058
169,CME102,0.6965699208443272,0.6914893617021277,0.6965699208443272,0.6914893617021277,758,94,0.6914893617021277,1.0,0.8176100628930818
170,ME131A,0.6728395061728395,0.25,0.5555555555555556,0.8333333333333334,324,24,1.0,0.1,0.18181818181818182
171,STATS116,0.6764705882352942,0.9047619047619048,0.6764705882352942,0.9047619047619048,340,42,0.9047619047619048,1.0,0.9500000000000001
172,BIOE123,0.9711538461538461,0.9545454545454546,0.9711538461538461,0.9545454545454546,104,44,0.9545454545454546,1.0,0.9767441860465117
173,CEE180,0.75,0.6666666666666666,0.75,0.6666666666666666,36,9,0.6666666666666666,1.0,0.8
174,CS294S,0.9285714285714286,0.0,0.9285714285714286,0.0,14,1,0.0,0.0,0.0
175,ECON101,0.9118773946360154,0.9824561403508771,0.9118773946360154,0.9824561403508771,261,57,0.9824561403508771,1.0,0.9911504424778761
176,CS377U,0.7735849056603774,0.9090909090909091,0.7735849056603774,0.9090909090909091,53,11,0.9090909090909091,1.0,0.9523809523809523
177,ME216B,0.9051094890510949,0.9019607843137255,0.9051094890510949,0.9019607843137255,137,51,0.9019607843137255,1.0,0.9484536082474228
178,MATH51,0.6048182586644125,0.5609756097560976,0.5967878275570583,0.6186252771618626,2366,451,0.6074270557029178,0.8207885304659498,0.6981707317073171
179,PHYSICS230,0.7333333333333333,1.0,0.7333333333333333,1.0,15,10,1.0,1.0,1.0
180,ECON124,0.9583333333333334,0.9032258064516129,0.9583333333333334,0.9032258064516129,24,31,0.9032258064516129,1.0,0.9491525423728813
181,MS&E121,0.8825757575757576,0.7473684210526316,0.8825757575757576,0.7473684210526316,264,95,0.7473684210526316,1.0,0.8554216867469879
182,PHYSICS171,0.7625,0.8709677419354839,0.7625,0.8709677419354839,80,31,0.8709677419354839,1.0,0.9310344827586207
183,CHEMENG120A,0.8108108108108109,0.8695652173913043,0.7297297297297297,0.8260869565217391,74,23,0.9,0.9473684210526315,0.9230769230769231
184,COMM106,0.9134615384615384,0.7391304347826086,0.9134615384615384,0.7391304347826086,104,23,0.7391304347826086,1.0,0.85
185,EE253,0.625,1.0,0.5,1.0,8,1,1.0,1.0,1.0
186,CS240,0.6666666666666666,0.5,0.6666666666666666,0.5,21,6,0.5,1.0,0.6666666666666666
187,CS124,0.8220689655172414,0.908256880733945,0.8220689655172414,0.908256880733945,725,218,0.908256880733945,1.0,0.9519230769230769
188,PHYSICS112,0.8387096774193549,1.0,0.8387096774193549,1.0,62,22,1.0,1.0,1.0
189,CS224U,0.9459459459459459,0.967479674796748,0.9459459459459459,0.967479674796748,111,123,0.967479674796748,1.0,0.9834710743801653
190,CHEMENG174,0.6923076923076923,1.0,0.6923076923076923,1.0,26,3,1.0,1.0,1.0
