,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
75,MCS100,0.9298245614035088,1.0,0.9298245614035088,1.0,57,3,1.0,1.0,1.0
76,PHYSICS112,0.8387096774193549,1.0,0.8387096774193549,1.0,62,22,1.0,1.0,1.0
77,MATH143,0.7857142857142857,0.72,0.7857142857142857,0.72,28,25,0.72,1.0,0.8372093023255813
78,EE134,0.7037037037037037,0.8888888888888888,0.7037037037037037,0.8888888888888888,27,9,0.8888888888888888,1.0,0.9411764705882353
79,ME70,0.5882352941176471,0.6081081081081081,0.5882352941176471,0.6081081081081081,323,74,0.6081081081081081,1.0,0.7563025210084033
80,PHIL151,0.6181818181818182,0.6388888888888888,0.6181818181818182,0.6388888888888888,110,36,0.6388888888888888,1.0,0.7796610169491525
81,MATH205B,0.9473684210526315,0.7142857142857143,0.9473684210526315,0.7142857142857143,19,7,0.7142857142857143,1.0,0.8333333333333333
82,BIO144,0.8421052631578947,0.5714285714285714,0.8421052631578947,0.5714285714285714,38,14,0.5714285714285714,1.0,0.7272727272727273
83,OSPBER40M,0.9137931034482759,1.0,0.9137931034482759,1.0,58,12,1.0,1.0,1.0
84,HUMBIO129S,0.9782608695652174,0.8805970149253731,0.9782608695652174,0.8805970149253731,138,67,0.8805970149253731,1.0,0.9365079365079364
85,MS&E111,0.5714285714285714,0.9384615384615385,0.5714285714285714,0.9384615384615385,308,65,0.9384615384615385,1.0,0.9682539682539683
86,CHEM35,0.7576374745417516,0.8157894736842105,0.5203665987780041,0.5263157894736842,982,38,1.0,0.65,0.787878787878788
87,PSYCH147,0.9194630872483222,0.967741935483871,0.9194630872483222,0.967741935483871,149,31,0.967741935483871,1.0,0.9836065573770492
88,STATS207,0.5714285714285714,0.75,0.5714285714285714,0.75,7,8,0.75,1.0,0.8571428571428571
89,BIOE44,0.9052132701421801,1.0,0.9052132701421801,1.0,211,20,1.0,1.0,1.0
90,MATH21,0.5502318392581144,0.4953271028037383,0.5502318392581144,0.4953271028037383,1294,214,0.4953271028037383,1.0,0.6625
91,CEE183,0.7666666666666667,0.6666666666666666,0.7666666666666667,0.6666666666666666,30,3,0.6666666666666666,1.0,0.8
92,BIO104,0.9702970297029703,0.8947368421052632,0.9702970297029703,0.8947368421052632,101,19,0.8947368421052632,1.0,0.9444444444444444
93,MATH120,0.8090909090909091,0.6888888888888889,0.8090909090909091,0.6888888888888889,220,45,0.6888888888888889,1.0,0.8157894736842105
94,ECON102C,0.85,1.0,0.85,1.0,40,22,1.0,1.0,1.0
95,CME102,0.6965699208443272,0.6914893617021277,0.6965699208443272,0.6914893617021277,758,94,0.6914893617021277,1.0,0.8176100628930818
96,CS228,0.5526315789473685,0.8,0.5526315789473685,0.8,76,35,0.8,1.0,0.888888888888889
97,CS275,0.8,1.0,0.8,1.0,25,5,1.0,1.0,1.0
98,EE282,0.5714285714285714,0.5,0.5714285714285714,0.5,7,2,0.5,1.0,0.6666666666666666
99,HUMBIO3B,0.5655021834061136,0.5043478260869565,0.5655021834061136,0.5043478260869565,458,115,0.5043478260869565,1.0,0.6705202312138728
100,EARTHSYS146A,0.9166666666666666,0.6363636363636364,0.9166666666666666,0.6363636363636364,12,11,0.6363636363636364,1.0,0.7777777777777778
101,ECON124,0.9583333333333334,0.9032258064516129,0.9583333333333334,0.9032258064516129,24,31,0.9032258064516129,1.0,0.9491525423728813
102,ME216B,0.9051094890510949,0.9019607843137255,0.9051094890510949,0.9019607843137255,137,51,0.9019607843137255,1.0,0.9484536082474228
103,EE214B,0.7058823529411765,0.0,0.29411764705882354,1.0,17,1,0.0,0.0,0.0
104,EE118,0.723404255319149,0.8666666666666667,0.723404255319149,0.8666666666666667,47,15,0.8666666666666667,1.0,0.9285714285714286
105,MATH108,0.6776859504132231,0.717391304347826,0.6776859504132231,0.717391304347826,121,46,0.717391304347826,1.0,0.8354430379746834
106,MATH121,0.851063829787234,0.8421052631578947,0.851063829787234,0.8421052631578947,47,38,0.8421052631578947,1.0,0.9142857142857143
107,CHEMENG160,0.5882352941176471,0.5,0.5882352941176471,0.5,17,10,0.5,1.0,0.6666666666666666
108,CS224N,0.634703196347032,0.8904109589041096,0.634703196347032,0.8904109589041096,219,146,0.8904109589041096,1.0,0.9420289855072463
109,PUBLPOL104,0.7017543859649122,0.7727272727272727,0.7017543859649122,0.7727272727272727,57,22,0.7727272727272727,1.0,0.8717948717948718
110,EARTHSYS111,0.6618705035971223,0.5555555555555556,0.6618705035971223,0.5555555555555556,139,45,0.5555555555555556,1.0,0.7142857142857143
111,GEOPHYS120,0.75,0.3333333333333333,0.75,0.3333333333333333,12,3,0.3333333333333333,1.0,0.5
112,CS108,0.7630434782608696,0.7162162162162162,0.7630434782608696,0.7162162162162162,460,74,0.7162162162162162,1.0,0.8346456692913385
113,MATH136,0.6956521739130435,0.7777777777777778,0.6956521739130435,0.7777777777777778,23,9,0.7777777777777778,1.0,0.8750000000000001
114,ENGR50,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,126,30,0.8333333333333334,1.0,0.9090909090909091
115,CME100A,0.6146788990825688,0.625,0.6146788990825688,0.625,327,32,0.625,1.0,0.7692307692307693
116,MATH172,0.8,0.5,0.8,0.5,15,10,0.5,1.0,0.6666666666666666
117,CHEM183,0.7096774193548387,0.7777777777777778,0.7096774193548387,0.7777777777777778,31,9,0.7777777777777778,1.0,0.8750000000000001
118,MATSCI190,0.75,0.0,0.5,0.0,8,1,0.0,0.0,0.0
119,CS229,0.7031700288184438,0.7972972972972973,0.7031700288184438,0.7972972972972973,694,74,0.7972972972972973,1.0,0.8872180451127819
120,BIOE42,0.6386554621848739,0.5454545454545454,0.6386554621848739,0.5454545454545454,119,33,0.5454545454545454,1.0,0.7058823529411764
121,CS193A,0.9411764705882353,0.9583333333333334,0.9411764705882353,0.9583333333333334,51,72,0.9583333333333334,1.0,0.9787234042553191
122,ENGR15,0.5694822888283378,0.4418604651162791,0.5694822888283378,0.4418604651162791,367,86,0.4418604651162791,1.0,0.6129032258064516
123,PHYSICS131,0.7857142857142857,0.6538461538461539,0.7857142857142857,0.6538461538461539,98,26,0.6538461538461539,1.0,0.7906976744186047
124,ME115B,0.8341463414634146,0.9130434782608695,0.8341463414634146,0.9130434782608695,205,69,0.9130434782608695,1.0,0.9545454545454545
125,CHEM151,0.581081081081081,0.5294117647058824,0.581081081081081,0.5294117647058824,74,34,0.5294117647058824,1.0,0.6923076923076924
126,PHIL186,0.8307692307692308,0.7777777777777778,0.8307692307692308,0.7777777777777778,65,9,0.7777777777777778,1.0,0.8750000000000001
127,ME80,0.5486322188449848,0.47619047619047616,0.4513677811550152,0.5238095238095238,658,105,0.0,0.0,0.0
128,HUMBIO4A,0.5267489711934157,0.475177304964539,0.4732510288065844,0.524822695035461,486,141,0.0,0.0,0.0
129,MATH19,0.5652173913043478,0.5416666666666666,0.5652173913043478,0.5416666666666666,897,48,0.5416666666666666,1.0,0.7027027027027027
130,CS231N,0.6455696202531646,0.6242038216560509,0.6455696202531646,0.6242038216560509,237,157,0.6242038216560509,1.0,0.7686274509803922
131,COMM106,0.9134615384615384,0.7391304347826086,0.9134615384615384,0.7391304347826086,104,23,0.7391304347826086,1.0,0.85
132,EARTHSYS151,0.9545454545454546,1.0,0.9545454545454546,1.0,22,4,1.0,1.0,1.0
133,MATH52,0.6833073322932918,0.7905405405405406,0.6833073322932918,0.7905405405405406,641,148,0.7905405405405406,1.0,0.8830188679245283
134,ME210,0.8057553956834532,0.7441860465116279,0.8057553956834532,0.7441860465116279,139,43,0.7441860465116279,1.0,0.8533333333333333
135,BIO115,0.7777777777777778,1.0,0.7777777777777778,1.0,27,15,1.0,1.0,1.0
136,CEE180,0.75,0.6666666666666666,0.75,0.6666666666666666,36,9,0.6666666666666666,1.0,0.8
137,ME131A,0.6574074074074074,0.6666666666666666,0.5555555555555556,0.8333333333333334,324,24,0.9285714285714286,0.65,0.7647058823529412
138,HUMBIO151R,0.9310344827586207,1.0,0.9310344827586207,1.0,29,15,1.0,1.0,1.0
139,ECON150,0.8235294117647058,1.0,0.8235294117647058,1.0,17,5,1.0,1.0,1.0
140,CS140,0.7166666666666667,0.673469387755102,0.7166666666666667,0.673469387755102,180,49,0.673469387755102,1.0,0.8048780487804877
141,EARTHSYS101,0.8125,0.6428571428571429,0.8125,0.6428571428571429,32,14,0.6428571428571429,1.0,0.782608695652174
142,CEE70,0.7161290322580646,0.6530612244897959,0.7161290322580646,0.6530612244897959,155,49,0.6530612244897959,1.0,0.7901234567901235
143,CS107E,0.7044334975369458,0.75,0.7044334975369458,0.75,203,40,0.75,1.0,0.8571428571428571
144,PHIL102,0.7222222222222222,0.8409090909090909,0.7222222222222222,0.8409090909090909,108,44,0.8409090909090909,1.0,0.9135802469135803
145,PHYSICS41,0.6647440519105984,0.6468085106382979,0.6647440519105984,0.6468085106382979,1387,470,0.6468085106382979,1.0,0.7855297157622739
146,ME161,0.6162162162162163,0.9333333333333333,0.6162162162162163,0.9333333333333333,370,15,0.9333333333333333,1.0,0.9655172413793104
147,CEE172,0.95,0.75,0.95,0.75,20,4,0.75,1.0,0.8571428571428571
148,PHYSICS108,0.8709677419354839,0.6666666666666666,0.8709677419354839,0.6666666666666666,62,3,0.6666666666666666,1.0,0.8
149,LINGUIST105,0.8620689655172413,0.8979591836734694,0.8620689655172413,0.8979591836734694,58,49,0.8979591836734694,1.0,0.9462365591397849
150,MS&E112,0.6666666666666666,0.0,0.3333333333333333,1.0,3,5,0.0,0.0,0.0
151,EE65,0.7769784172661871,0.8541666666666666,0.7769784172661871,0.8541666666666666,139,48,0.8541666666666666,1.0,0.9213483146067416
152,ME112,0.826271186440678,0.9444444444444444,0.826271186440678,0.9444444444444444,472,162,0.9444444444444444,1.0,0.9714285714285714
153,CHEMENG20,0.7192982456140351,0.8235294117647058,0.7192982456140351,0.8235294117647058,57,17,0.8235294117647058,1.0,0.9032258064516129
154,EE102A,0.6597938144329897,0.5818181818181818,0.6597938144329897,0.5818181818181818,194,55,0.5818181818181818,1.0,0.735632183908046
155,MATH104,0.7007125890736342,0.711340206185567,0.7007125890736342,0.711340206185567,421,97,0.711340206185567,1.0,0.8313253012048193
156,EARTHSYS158,0.7142857142857143,0.5,0.7142857142857143,0.5,7,2,0.5,1.0,0.6666666666666666
157,CS194,0.8669950738916257,0.9841269841269841,0.8669950738916257,0.9841269841269841,203,63,0.9841269841269841,1.0,0.9919999999999999
158,PHIL152,0.75,1.0,0.75,1.0,32,4,1.0,1.0,1.0
159,HUMBIO136,0.9411764705882353,1.0,0.9411764705882353,1.0,17,1,1.0,1.0,1.0
160,CHEM153,0.5757575757575758,0.75,0.5757575757575758,0.75,33,4,0.75,1.0,0.8571428571428571
161,EE101B,0.6179775280898876,0.6818181818181818,0.6179775280898876,0.6818181818181818,89,22,0.6818181818181818,1.0,0.8108108108108109
162,MS&E211,0.7168141592920354,0.8571428571428571,0.7168141592920354,0.8571428571428571,113,14,0.8571428571428571,1.0,0.923076923076923
163,CS240,0.6666666666666666,0.5,0.6666666666666666,0.5,21,6,0.5,1.0,0.6666666666666666
164,ME227,0.6060606060606061,0.6363636363636364,0.6060606060606061,0.6363636363636364,33,11,0.6363636363636364,1.0,0.7777777777777778
165,CHEMENG120A,0.7297297297297297,0.8260869565217391,0.7297297297297297,0.8260869565217391,74,23,0.8260869565217391,1.0,0.9047619047619047
166,GEOPHYS110,0.6944444444444444,1.0,0.6944444444444444,1.0,36,9,1.0,1.0,1.0
