,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
123,CS261,0.9117647058823529,0.6666666666666666,0.7352941176470589,1.0,34,6,1.0,0.6666666666666666,0.8
124,MATH104,0.8574821852731591,0.711340206185567,0.7007125890736342,0.711340206185567,421,97,0.7662337662337663,0.855072463768116,0.8082191780821918
125,PHIL154,0.9545454545454546,0.6923076923076923,0.8181818181818182,0.6153846153846154,22,13,0.6666666666666666,1.0,0.8
126,CME100A,0.691131498470948,0.6875,0.6146788990825688,0.625,327,32,0.6785714285714286,0.95,0.7916666666666667
127,ECON178,0.9849246231155779,0.7340425531914894,0.9849246231155779,0.7340425531914894,199,94,0.7340425531914894,1.0,0.8466257668711656
128,CHEM153,0.9696969696969697,1.0,0.5757575757575758,0.75,33,4,1.0,1.0,1.0
129,EE178,0.8981481481481481,0.8484848484848485,0.7222222222222222,0.8484848484848485,108,33,0.96,0.8571428571428571,0.9056603773584904
130,PSYCH95,0.8504672897196262,0.875,0.8271028037383178,0.8977272727272727,214,88,0.9047619047619048,0.9620253164556962,0.9325153374233128
131,PHYSICS152,1.0,1.0,0.6666666666666666,1.0,21,4,1.0,1.0,1.0
132,CS102,0.8516129032258064,0.6666666666666666,0.7548387096774194,0.5873015873015873,155,63,0.6818181818181818,0.8108108108108109,0.7407407407407407
133,MATH122,0.9285714285714286,0.6666666666666666,0.8809523809523809,0.6666666666666666,42,9,0.6666666666666666,1.0,0.8
134,MATH143,0.9642857142857143,0.76,0.7857142857142857,0.72,28,25,0.75,1.0,0.8571428571428571
135,MATH210B,1.0,1.0,0.9,1.0,10,12,1.0,1.0,1.0
136,PHIL173B,0.9,1.0,0.9,1.0,10,5,1.0,1.0,1.0
137,CS276,1.0,0.6521739130434783,0.6086956521739131,0.5217391304347826,23,23,0.6428571428571429,0.75,0.6923076923076924
138,STATS203,1.0,0.7,0.6428571428571429,0.8,28,20,0.8125,0.8125,0.8125
139,EARTHSYS146A,0.9166666666666666,0.6363636363636364,0.9166666666666666,0.6363636363636364,12,11,0.6363636363636364,1.0,0.7777777777777778
140,CEE182,0.9310344827586207,0.8,0.6896551724137931,0.8,29,5,1.0,0.75,0.8571428571428571
141,CS140,0.8944444444444445,0.7551020408163265,0.7166666666666667,0.673469387755102,180,49,0.7692307692307693,0.9090909090909091,0.8333333333333333
142,MATH175,1.0,0.7,0.6190476190476191,1.0,21,10,1.0,0.7,0.8235294117647058
143,CHEM185,0.9629629629629629,0.8333333333333334,0.6666666666666666,0.8333333333333334,27,12,0.9,0.9,0.9
144,MATH171,0.88,0.5833333333333334,0.6742857142857143,0.5416666666666666,175,24,0.5882352941176471,0.7692307692307693,0.6666666666666667
145,CHEM31B,0.8119575699132112,0.8552188552188552,0.5207328833172613,0.6464646464646465,1037,297,0.8706467661691543,0.9114583333333334,0.8905852417302799
146,STATS215,1.0,0.6666666666666666,0.75,0.6666666666666666,8,15,0.6666666666666666,1.0,0.8
147,CS223A,1.0,0.7777777777777778,0.56,0.6666666666666666,50,9,1.0,0.6666666666666666,0.8
148,EE214B,1.0,0.0,0.29411764705882354,1.0,17,1,0.0,0.0,0.0
149,OSPKYOTO40M,0.9354838709677419,0.9333333333333333,0.7741935483870968,1.0,31,15,1.0,0.9333333333333333,0.9655172413793104
150,EE124,0.971830985915493,0.7142857142857143,0.704225352112676,0.7142857142857143,71,14,0.8,0.8,0.8000000000000002
151,CS243,1.0,0.5,0.2857142857142857,1.0,7,2,1.0,0.5,0.6666666666666666
152,EE107,0.8987341772151899,1.0,0.7974683544303798,0.6,79,5,1.0,1.0,1.0
153,EARTHSYS101,0.84375,0.6428571428571429,0.8125,0.6428571428571429,32,14,0.6428571428571429,1.0,0.782608695652174
154,PSYCH121,0.8636363636363636,0.6666666666666666,0.8181818181818182,0.6666666666666666,22,3,0.6666666666666666,1.0,0.8
155,ME112,0.8665254237288136,0.9135802469135802,0.826271186440678,0.9444444444444444,472,162,0.9483870967741935,0.9607843137254902,0.9545454545454546
156,ECON126,0.9021739130434783,0.7741935483870968,0.6630434782608695,0.6935483870967742,92,62,0.8372093023255814,0.8372093023255814,0.8372093023255814
157,ENGR50,0.9126984126984127,0.8333333333333334,0.8333333333333334,0.8333333333333334,126,30,0.8333333333333334,1.0,0.9090909090909091
